# number of spin vectors:       5
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      4  0.0000000E+00  0.0000000E+00  0.1000000E+01

         1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      1  0.7382794E-05  0.0000000E+00  0.1000000E+01
         1      2  0.7749290E-05 -0.1967372E-03  0.1000000E+01
         1      3  0.1654520E-04 -0.9845472E-03  0.9999995E+00
         1      4  0.4403241E-04 -0.1974478E-02  0.9999980E+00
