# number of spin vectors:      29
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      4  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      5  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      6  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      7  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      8  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      9  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     10  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     11  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     12  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     13  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     14  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     15  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     16  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     17  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     18  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     19  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     20  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     21  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     22  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     23  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     24  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     25  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     26  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     27  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     28  0.0000000E+00  0.0000000E+00  0.1000000E+01

         2      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      1  0.8848521E+00  0.0000000E+00 -0.4658721E+00
         2      2  0.8848610E+00  0.5130857E-05 -0.4658551E+00
         2      3  0.8848588E+00  0.3849241E-05 -0.4658593E+00
         2      4  0.8848566E+00  0.2566886E-05 -0.4658636E+00
         2      5  0.8848543E+00  0.1283802E-05 -0.4658678E+00
         2      6  0.8848521E+00  0.0000000E+00 -0.4658721E+00
         2      7  0.8848498E+00 -0.1284510E-05 -0.4658763E+00
         2      8  0.8848476E+00 -0.2569717E-05 -0.4658806E+00
         2      9  0.8848454E+00 -0.3855609E-05 -0.4658848E+00
         2     10  0.8848431E+00 -0.5142177E-05 -0.4658891E+00
         2     11  0.8848599E+00  0.3992179E-04 -0.4658572E+00
         2     12  0.8848580E+00  0.2992846E-04 -0.4658609E+00
         2     13  0.8848560E+00  0.1994373E-04 -0.4658646E+00
         2     14  0.8848540E+00  0.9967584E-05 -0.4658684E+00
         2     15  0.8848521E+00  0.0000000E+00 -0.4658721E+00
         2     16  0.8848501E+00 -0.9959047E-05 -0.4658758E+00
         2     17  0.8848482E+00 -0.1990958E-04 -0.4658795E+00
         2     18  0.8848462E+00 -0.2985163E-04 -0.4658832E+00
         2     19  0.8848443E+00 -0.3978521E-04 -0.4658869E+00
         2     20  0.8848644E+00 -0.8015462E-05 -0.4658487E+00
         2     21  0.8848613E+00 -0.6012176E-05 -0.4658545E+00
         2     22  0.8848582E+00 -0.4008505E-05 -0.4658604E+00
         2     23  0.8848552E+00 -0.2004448E-05 -0.4658662E+00
         2     24  0.8848521E+00  0.0000000E+00 -0.4658721E+00
         2     25  0.8848490E+00  0.2004840E-05 -0.4658779E+00
         2     26  0.8848459E+00  0.4010075E-05 -0.4658838E+00
         2     27  0.8848429E+00  0.6015707E-05 -0.4658896E+00
         2     28  0.8848398E+00  0.8021739E-05 -0.4658954E+00

         4      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         4      1 -0.8244558E+00  0.0000000E+00 -0.5659264E+00
         4      2 -0.8244374E+00  0.7085222E-05 -0.5659531E+00
         4      3 -0.8244420E+00  0.5303671E-05 -0.5659464E+00
         4      4 -0.8244466E+00  0.3528928E-05 -0.5659397E+00
         4      5 -0.8244512E+00  0.1761026E-05 -0.5659331E+00
         4      6 -0.8244558E+00  0.0000000E+00 -0.5659264E+00
         4      7 -0.8244603E+00 -0.1754116E-05 -0.5659197E+00
         4      8 -0.8244649E+00 -0.3501289E-05 -0.5659131E+00
         4      9 -0.8244695E+00 -0.5241482E-05 -0.5659064E+00
         4     10 -0.8244741E+00 -0.6974663E-05 -0.5658997E+00
         4     11 -0.8244435E+00  0.8497289E-04 -0.5659442E+00
         4     12 -0.8244466E+00  0.6371946E-04 -0.5659398E+00
         4     13 -0.8244497E+00  0.4247285E-04 -0.5659353E+00
         4     14 -0.8244527E+00  0.2123304E-04 -0.5659308E+00
         4     15 -0.8244558E+00  0.0000000E+00 -0.5659264E+00
         4     16 -0.8244588E+00 -0.2122628E-04 -0.5659220E+00
         4     17 -0.8244618E+00 -0.4244582E-04 -0.5659175E+00
         4     18 -0.8244649E+00 -0.6365864E-04 -0.5659131E+00
         4     19 -0.8244679E+00 -0.8486476E-04 -0.5659087E+00
         4     20 -0.8244258E+00  0.8253710E-05 -0.5659700E+00
         4     21 -0.8244333E+00  0.6186640E-05 -0.5659591E+00
         4     22 -0.8244408E+00  0.4121990E-05 -0.5659482E+00
         4     23 -0.8244483E+00  0.2059773E-05 -0.5659373E+00
         4     24 -0.8244558E+00  0.0000000E+00 -0.5659264E+00
         4     25 -0.8244632E+00 -0.2057318E-05 -0.5659155E+00
         4     26 -0.8244707E+00 -0.4112170E-05 -0.5659046E+00
         4     27 -0.8244782E+00 -0.6164547E-05 -0.5658937E+00
         4     28 -0.8244856E+00 -0.8214440E-05 -0.5658829E+00

         6      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         6      1 -0.1166702E+00  0.0000000E+00  0.9931707E+00
         6      2 -0.1167058E+00  0.2012395E-05  0.9931665E+00
         6      3 -0.1166969E+00  0.1527860E-05  0.9931676E+00
         6      4 -0.1166880E+00  0.1031027E-05  0.9931686E+00
         6      5 -0.1166791E+00  0.5217797E-06  0.9931697E+00
         6      6 -0.1166702E+00  0.0000000E+00  0.9931707E+00
         6      7 -0.1166613E+00 -0.5344298E-06  0.9931718E+00
         6      8 -0.1166524E+00 -0.1081628E-05  0.9931728E+00
         6      9 -0.1166436E+00 -0.1641713E-05  0.9931738E+00
         6     10 -0.1166347E+00 -0.2214804E-05  0.9931749E+00
         6     11 -0.1166782E+00 -0.1704856E-03  0.9931698E+00
         6     12 -0.1166762E+00 -0.1278464E-03  0.9931700E+00
         6     13 -0.1166742E+00 -0.8521907E-04  0.9931702E+00
         6     14 -0.1166722E+00 -0.4260357E-04  0.9931705E+00
         6     15 -0.1166702E+00  0.0000000E+00  0.9931707E+00
         6     16 -0.1166683E+00  0.4259154E-04  0.9931709E+00
         6     17 -0.1166664E+00  0.8517099E-04  0.9931712E+00
         6     18 -0.1166645E+00  0.1277382E-03  0.9931714E+00
         6     19 -0.1166627E+00  0.1702932E-03  0.9931716E+00
         6     20 -0.1167490E+00 -0.2981219E-06  0.9931615E+00
         6     21 -0.1167293E+00 -0.2183072E-06  0.9931638E+00
         6     22 -0.1167096E+00 -0.1419402E-06  0.9931661E+00
         6     23 -0.1166899E+00 -0.6913422E-07  0.9931684E+00
         6     24 -0.1166702E+00  0.0000000E+00  0.9931707E+00
         6     25 -0.1166506E+00  0.6535418E-07  0.9931730E+00
         6     26 -0.1166309E+00  0.1268226E-06  0.9931753E+00
         6     27 -0.1166113E+00  0.1843020E-06  0.9931776E+00
         6     28 -0.1165916E+00  0.2376920E-06  0.9931799E+00

         8      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         8      1  0.9331626E+00  0.0000000E+00 -0.3594546E+00
         8      2  0.9331733E+00 -0.1107995E-04 -0.3594268E+00
         8      3  0.9331706E+00 -0.8315510E-05 -0.3594337E+00
         8      4  0.9331679E+00 -0.5547393E-05 -0.3594407E+00
         8      5  0.9331652E+00 -0.2775567E-05 -0.3594477E+00
         8      6  0.9331626E+00  0.0000000E+00 -0.3594546E+00
         8      7  0.9331599E+00  0.2779339E-05 -0.3594616E+00
         8      8  0.9331572E+00  0.5562483E-05 -0.3594685E+00
